Headlines,Journalists
U.S. says Russian military has committed war crimes,Sudarsan Raghavan
Biden arrives in Europe for meetings,John Hudson
"In this town, the Ukrainian government’s boasts of victory over Russia don’t match reality",Missy Ryan
Top Russian military leaders repeatedly decline calls from U.S.,Tyler Pager
U.S. cites Russian attacks on hospitals as evidence of war crimes,Michael Birnbaum
"Biden, Europeans to announce major plan to redirect gas to Europe
",David Ignatius
Divisions emerge within NATO about how to deter Russia,Megan McArdle
How Madeleine Albright shaped a generation of foreign policy leaders,Editorial Board
Lia Thomas’s swimming success raises the question: What is the purpose of women’s sports?,Ann E. Marimow
A falsified video of Zelensky shows how deepfakes can be disarmed,Aaron Blake
Dangerous covid variants could emerge from North Korea if the world doesn’t act,Dan Balz
Jackson defends sentencing decisions on a tense Day 3,Perry Stein
Committee is expected to vote on April 4,Michele L. Norris
Takeaways from the hearings,Jennifer Rubin
Jackson endures questioning with racial overtones from GOP senators,Dana Milbank
The elite D.C. prep school at the center of Jackson’s confirmation hearing,Anne Branigin
The timeless truth Jackson said out loud,Shayna Jacobs
GOP grandstanders aren’t the only reason Jackson’s hearings were so disgraceful,Tim Craig
Cruz attacks Jackson for ‘critical race theory’ — but sends his own daughters to learn it,Devlin Barrett
First female secretary of state dies at 84,Hannah Sampson
"Utah governor vetoes transgender athlete bill, citing high suicide rates: ‘I want them to live’",Robert Barnes
Prosecutor who resigned over stalled Trump probe says ex-president committed felonies,Carolyn Y. Johnson
"After tornado, New Orleans-area residents pick up the pieces again",Dan Keating
FBI targets Russian Embassy in D.C. for disgruntled Russians looking to talk,Lindsey Bever
Miami Beach grapples with spring break shootings: ‘Go somewhere else’ ,Kari Sonde
Play our crossword created by women to celebrate Women’s History Month. A new puzzle drops every Wednesday.,Inkoo Kang
Justice Clarence Thomas misses Supreme Court arguments because of hospitalization,Tatum Hunter
"Moderna vaccine deemed safe for young children, but efficacy is complicated",Alyse Stanley
How fast omicron’s BA.2 variant is spreading around the world,Donna Cassata
"U.S. alcohol-related deaths hit highest rate in decades during coronavirus pandemic, study shows",Ron Charles
8 baking projects to release your inner star baker,Glenn Kessler
‘Bridgerton’ Season 2 is less steamy. It’s also more relatable.,Philip Bump
Dust off your home WiFi router: It needs some upkeep to stay secure,Mariana Alfaro
‘Kirby and the Forgotten Land’ is more of the same in the best way,Meryl Kornfield
"Top Russian military leaders repeatedly decline calls from U.S., prompting fears of ‘sleepwalking into war’ ",Amy Cheng
The rise and evolution of Russia’s oligarchs,Robyn Dixon
Trump drops his support for Rep. Mo Brooks in Alabama Senate race,Eva Dou
Cruz gave nation a lesson on misreading kids’ books,Lori Aratani
Mark Meadows’s wife appears to have filed at least two false voter forms,Jeremy Barr
A senator reminds America that core rights exist at the Supreme Court’s pleasure,Michael E. Ruane
Pelosi backs Rep. Henry Cuellar’s reelection bid in Texas despite FBI investigation,Christian Davenport
‘Amazingly brave’ Russian journalist is at least the fifth reporter to die covering war in Ukraine,Jonathan Edwards
Putin plans to attend G-20 summit despite calls to exclude him,Jaclyn Peiser
"Who is Anatoly Chubais, the highest official to leave Kremlin since invasion?  ",Robert Barnes
"As Mykolaiv resists Russia, bodies are piling up",Darryl Fears
Dutch publisher pulls Anne Frank betrayal book amid criticism,Maxine Joselow
One black box recovered from China Eastern crash,Tracy Jan
Airline CEOs call for end to federal mask mandate in letter to Biden,Jeanne Whalen
The rise and (maybe) fall of BuzzFeed News — and larger dreams for digital journalism,Eva Dou
Wreck of 200-year-old whaling ship may have been found in Gulf of Mexico,Tatum Hunter
Jeff Bezos’s Blue Origin will get a second chance to compete in NASA’s moon program,Rachel Lerman
A trans swimmer won an NCAA championship. DeSantis proclaimed a Florida resident the ‘rightful winner.’,Reed Albergotti
A preschool teacher led her students in an anti-Biden chant. The school has apologized to parents.,Taylor Lorenz
"Supreme Court throws out Wisconsin legislative maps adopted by state’s high court, a win for GOP",Lauren Lumpkin
Tree rings from centuries past may help reveal a warming planet’s future,Ovetta Wiggins
A disease more lethal than covid-19 has nearly wiped out northern long-eared bats,Gregory S. Schneider
